TYTUŁ,CENA,LINK,DATA
Macbook Pro i5 retina +OLED 512Gb świetny stan,3000,https://allegrolokalnie.pl//oferta/macbook-pro-i5-retina-oled-1tb-swietny-stan,2023-03-09 23:40:07
,,,2023-03-10 00:13:24
Asus tuf gaming gtx1650 8ram,1810,https://www.olx.pl//d/oferta/asus-tuf-gaming-gtx1650-8ram-CID99-IDTxfnI.html,2023-03-10 00:13:24
,,,2023-03-10 07:06:17
,,,2023-03-10 16:47:08
Stacjonarny Laptop Gamingowy MSI GF65 Thin i5-9300H RTX2060 16/512GB,1300,https://www.olx.pl//d/oferta/stacjonarny-laptop-gamingowy-msi-gf65-thin-i5-9300h-rtx2060-16-512gb-CID99-IDTxFJO.html,2023-03-10 16:47:08
Laptop MSI GS73VR 7RG Stealth Pro ,2500,https://allegrolokalnie.pl//oferta/laptop-msi-gs73vr-7rg-stealth-pro,2023-03-10 16:47:08
,,,2023-03-11 00:54:33
Karta graficzna MSI RTX 3060ti Gaming Z Trio,2000,https://www.olx.pl//d/oferta/karta-graficzna-msi-rtx-3060ti-gaming-z-trio-CID99-IDTy6ef.html,2023-03-11 00:54:33
"RTX 3070 MSI GAMINX X-TRIO, pudełko , dowód zakupu , stan BDB",1900,https://www.olx.pl//d/oferta/rtx-3070-msi-gaminx-x-trio-pudelko-dowod-zakupu-stan-bdb-CID99-IDRDyJk.html,2023-03-11 00:54:33
"RTX 3070 MSI VENTUS 3X0C , pudełko , dowód zakupu , stan BDB",1800,https://www.olx.pl//d/oferta/rtx-3070-msi-ventus-3x0c-pudelko-dowod-zakupu-stan-bdb-CID99-IDRHtOz.html,2023-03-11 00:54:33
"HP Omen 16 /16,1"" i5 11400H/RTX3050Ti/16gb",2850,https://allegrolokalnie.pl//oferta/hp-omen-16-161-i5-11400hrtx3050ti16gb,2023-03-11 00:54:33
,,,2023-03-11 12:02:47
[NOWY FV23%] PC do Gier i5 11400f RTX 3060 16GB RAM 500 GB SSD GAMING,3599,https://www.olx.pl//d/oferta/nowy-fv23-pc-do-gier-i5-11400f-rtx-3060-16gb-ram-500-gb-ssd-gaming-CID99-IDNIC8V.html?reason=extended_search_extended_category,2023-03-11 12:02:47
Komputer Gamingowy Okazja! i7 16GB RAM GTX 1660 SSD,2200,https://www.olx.pl//d/oferta/komputer-gamingowy-okazja-i7-16gb-ram-gtx-1660-ssd-CID99-IDTw0K7.html?reason=extended_search_extended_category,2023-03-11 12:02:47
Msi RTX 3060Ti Ventus 2X 8GB GDDR6 *GWARANCJA*,2000,https://www.olx.pl//d/oferta/msi-rtx-3060ti-ventus-2x-8gb-gddr6-gwarancja-CID99-IDTuYZy.html?reason=extended_search_extended_category,2023-03-11 12:02:47
MSI RTX 2070 armor 8GB OC,1199,https://www.olx.pl//d/oferta/msi-rtx-2070-armor-8gb-oc-CID99-IDTbbdB.html?reason=extended_search_extended_category,2023-03-11 12:02:47
PC i5-7400/GTX 1650 OC/16GB RAM/SSD Komputer Stacjonarny,1999,https://www.olx.pl//d/oferta/pc-i5-7400-gtx-1650-oc-16gb-ram-ssd-komputer-stacjonarny-CID99-IDOCCle.html?reason=extended_search_extended_category,2023-03-11 12:02:47
